Rank,Popularity,Score,Episodes
525,207,8.03,6
526,3847,8.03,21
527,2018,8.03,10
528,604,8.03,12
529,129,8.03,25
530,3064,8.03,39
531,527,8.03,24
532,1877,8.03,1
533,1083,8.03,12
534,4490,8.02,1
535,2275,8.02,26
536,74,8.02,25
537,715,8.02,11
538,3133,8.02,13
539,82,8.02,13
540,4933,8.02,1
541,388,8.02,1
542,2867,8.02,1
543,1225,8.02,12
544,368,8.02,1
545,594,8.02,6
546,801,8.02,24
547,98,8.02,26
548,1575,8.02,2
549,1694,8.02,1
550,3215,8.01,1
551,7017,8.01,1
552,77,8.01,23
553,1301,8.01,4
554,849,8.01,14
555,2589,8.01,12
556,2121,8.01,12
557,1896,8.01,1
558,2324,8.01,1
559,5225,8.01,12
560,2365,8.01,4
561,1137,8,12
562,322,8,26
563,1276,8,26
564,3377,8,101
565,2001,8,1
566,1519,8,1
567,3947,8,4
568,2094,8,1
569,4870,8,25
570,450,8,13
571,2282,8,3
572,685,8,12
573,168,8,25
574,103,8,13
575,3619,8,1
576,7733,7.99,13
577,8082,7.99,24
578,408,7.99,12
579,1537,7.99,9
580,452,7.99,12
581,1964,7.99,1
582,4284,7.99,1
583,2913,7.99,13
584,139,7.99,13
585,756,7.99,1
586,257,7.99,12
587,678,7.99,24
588,820,7.98,1
589,2036,7.98,2
590,3283,7.98,7
591,6386,7.98,12
592,854,7.98,13
593,596,7.98,12
594,4178,7.98,1
595,506,7.98,12
596,1093,7.98,38
597,650,7.97,26
598,793,7.97,13
599,1526,7.97,109
600,3768,7.97,39
601,772,7.97,24
602,2363,7.97,13
603,8,7.97,220
604,22,7.97,12
605,2077,7.97,1
606,615,7.97,26
607,1736,7.97,12
608,1760,7.97,13
609,4737,7.97,12
610,178,7.97,12
611,2108,7.97,1
612,701,7.96,24
613,1260,7.96,24
614,1206,7.96,25
615,1224,7.96,1
616,1740,7.96,1
617,140,7.96,153
618,2989,7.96,1
619,1985,7.96,1
620,5045,7.96,8
621,1237,7.96,24
622,3923,7.96,13
623,3742,7.96,1
624,2891,7.96,1
625,58,7.95,25
626,680,7.95,1
627,1968,7.95,1
628,2568,7.95,12
629,469,7.95,5
630,3990,7.95,1
631,3692,7.95,148
632,804,7.95,4
633,934,7.95,1
634,114,7.95,25
635,8931,7.95,1
636,479,7.95,12
637,2262,7.95,4
638,166,7.95,11
639,2355,7.95,1
640,924,7.95,38
641,2613,7.94,6
642,2709,7.94,4
643,354,7.94,4
644,4459,7.94,26
645,560,7.94,1
646,1456,7.94,1
647,6,7.94,13
648,8295,7.94,13
649,2973,7.94,4
650,836,7.94,21
651,799,7.94,13
652,1732,7.94,52
653,3421,7.94,1
654,1979,7.94,13
655,1946,7.94,11
656,1725,7.93,34
657,1908,7.93,12
658,811,7.93,4
659,1454,7.93,1
660,4052,7.93,12
661,1495,7.93,1
662,4253,7.93,1
663,4135,7.93,1
664,1826,7.93,26
665,1437,7.93,1
666,1182,7.93,3
667,1862,7.93,69
668,1566,7.93,12
669,323,7.93,24
670,1151,7.92,1
671,284,7.92,24
672,72,7.92,13
673,200,7.92,13
674,161,7.92,13
675,299,7.92,12
676,2305,7.92,10
677,2208,7.92,51
678,709,7.92,1
679,1199,7.92,12
680,4225,7.92,1
681,1148,7.92,145
682,617,7.92,26
683,65,7.92,26
684,2039,7.92,51
685,189,7.92,1
686,1780,7.92,36
687,3822,7.91,3
688,905,7.91,1
689,359,7.91,12
690,813,7.91,12
691,306,7.91,23
692,3746,7.91,12
693,4345,7.91,23
694,1113,7.91,12
695,819,7.91,13
696,2339,7.91,24
697,1814,7.91,25
698,1848,7.91,12
699,567,7.91,12
700,1441,7.91,26
701,1923,7.91,50
702,2858,7.91,13
703,3222,7.91,6
704,1481,7.91,13
705,495,7.91,12
706,692,7.91,13
707,176,7.91,12
708,1466,7.91,13
709,1880,7.9,39
710,621,7.9,26
